ID,approve,date,movie_name,score,short_review
大聪看电影,6297,"
                    2018-07-26
                ",狄仁杰之四大天王 短评,30,张学友，刘德华，郭富城，黎明，他们都演得好棒哦，彻底融入角色，伪装得也很好，全程看完我都认不出他们来。
艾缇嘉尔,2415,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,20,这部能一直拍到现在就很坚挺了，服装越来越丑，演员越来越尬，剧情？在哪儿呢？
影志,2107,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,40,虽然没明白“四大天王”到底和剧情有啥关系，但是这一部居然是三部里最好看的！配角飞烟、幻天真人印象好感加分。服装，造型，动作，美术，摄影…简直登峰造极，给人古典又华丽的视觉美，简直让玄乎其玄的故事可以升天。片尾三个彩蛋实力刷存在感！
凌睿,1803,"
                    2018-07-20
                ",狄仁杰之四大天王 短评,40,"1.你天真的以为这是一部悬疑片、推理片，其实这就是部奇幻片、魔幻片。
你还傻乎乎的等待导演解释这些神秘的现象是怎么做到的，然而导演根本就没想过要解释这些神秘的现象，所有悬念都用“方术”来解释，一个“方术”就把你打发了。
2.《狄仁杰之四大天王》和《妖猫传》并称《大型魔术表演集锦》两部曲。明年徐克可以上春晚表演变魔术了。
3.狄仁杰破解魔术（方术）的最好办法不是念经，而是让魔术师脱光衣服表演，看他还变不变的出来。
4.电影其它都好，缺点是电影都看完了，刘德华、张学友、黎明、郭富城一个都没出现，说好的四大天王呢？
【有3个彩蛋，在片尾字幕之间】"
Mrape,1253,"
                    2018-07-10
                ",狄仁杰之四大天王 短评,10,妖猫传中日式“唐风”的出现就引起了争议，这部徐克的唐代古装片中出现了照搬日本建筑甚至日本服饰来还原大唐，可谓是没有一点点历史常识，这究竟是对自身文化的自卑，还是请精神日本人做得艺术指导？
慢先森,877,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,20,视觉效果升级了（但却没有一个印象深刻的镜头，第一集的通天塔和第二集的花魁angelababy多惊艳！），林更新不停哔哔哔逼话多烦到我了，马思纯的眉毛恶心到我了，乱入片场的金刚让我彻底无语了。这TM到底是侦探片还是魔幻片？@南滨路UME
阿德,1158,"
                    2018-07-25
                ",狄仁杰之四大天王 短评,40,这个系列的最佳，徐克想象力爆炸，视效与剧情结合最好的一次，东方视效加分，“方术”反派抢眼，应该是老怪近年来最好的一部作品了。
王大根,810,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,这是不是一个原来准备做西游的本子，半道给改成了狄仁杰系列？有一半时间里我都觉得自己在看西游记车迟国斗法，最后都和尚带着猴子出来了……林更新蛮可爱的，爱情线太尴尬了，马思纯感觉这辈子都是一个试图证明自己不是乖乖女的中学女班长
生涯,876,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,10,极差的剧情，尴尬的演技，老徐这两年越来越像王晶！
西楼尘,714,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,武天后的心魔是水牢里的无脸候，她的野心一直在舀水，却舀不到尽头；封魔族的心魔是方术中的移魂咒，他的仇恨一直在划刻，却划不出伤口；狄仁杰的心魔是御赐的亢龙锏，他的忠心一直在挥砍，却砍不断龙头。圆测练不出的心法，水月回不去的家乡，沙陀爱不得的少女，尉迟逃不掉的阴影，万般心魔皆为幻梦。
方枪枪,903,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,40,终于可以说说这片了，这是一部典型的看上去很爽，但少有余味的爆米花商业片。制作水准很高，徐老怪再次用特效让电影飞了起来，看的过程一直是“卧槽卧槽”，还可以这样玩！观影过程很嗨。上映后还会再刷，建议去好的影厅看才更有感觉。电影就是幻术，徐克才是幕后大师！
